City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,richfield,44.8833,-93.283,26.34,79,40,2.57,US,1696090198
114,antalaha,-14.9003,50.2788,22.31,87,7,3.51,MG,1696090198
115,alaghsas,17.0187,8.0168,37.26,21,95,7.33,NE,1696090108
116,east london,-33.0153,27.9116,16.47,76,100,13.96,ZA,1696090074
117,wailua homesteads,22.0669,-159.378,24.44,90,20,4.12,US,1696090012
118,xiangyang,32.0422,112.1448,21.1,71,100,2.16,CN,1696090150
119,bela,25.9333,81.9833,29.31,59,43,2.19,IN,1696090200
120,gadzhiyevo,69.2551,33.3362,7.85,90,100,3.97,RU,1696090077
121,narasannapeta,18.4167,84.05,27.98,82,100,2.08,IN,1696090200
122,saint-denis,48.9167,2.3333,24.02,59,20,3.09,FR,1696090200
123,vigan,17.5747,120.3869,27.12,87,99,1.22,PH,1696090201
124,jimenez,28.3333,-105.4,27.8,31,28,4.04,MX,1696090201
125,fauske,67.2588,15.3918,11.02,92,94,1.21,NO,1696090201
126,egilsstadir,65.2653,-14.3948,6.66,73,91,1.97,IS,1696090123
127,bethel,41.3712,-73.414,15.58,88,100,3.16,US,1696090004
128,savanna-la-mar,18.219,-78.1332,32.18,56,25,1.37,JM,1696090202
129,san clemente del tuyu,-36.3569,-56.7235,13.49,53,8,4.57,AR,1696090202
130,sandnessjoen,66.0217,12.6316,10.29,95,96,5.7,NO,1696090052
131,kudymkar,59.0173,54.656,10.35,80,99,3.25,RU,1696090203
132,aasiaat,68.7098,-52.8699,-2.18,82,81,3.98,GL,1696090040
133,chilaw,7.5758,79.7953,24.01,80,96,6.84,LK,1696090204
134,krymsk,44.9293,37.9912,21.97,39,20,3.09,RU,1696090204
135,ivdel',60.6911,60.4206,5.9,79,83,2.41,RU,1696090204
136,nogliki,51.8333,143.1667,7.87,92,39,1.91,RU,1696090205
137,port saint john's,-31.6229,29.5448,19.24,78,88,10.18,ZA,1696090205
138,san patricio,28.017,-97.5169,31.59,54,5,5.6,US,1696090066
139,anadyr,64.75,177.4833,-0.72,80,0,8.0,RU,1696090024
140,serenje,-13.2325,30.2352,25.78,28,98,2.09,ZM,1696090206
141,smithers,54.7804,-127.1743,5.86,80,38,0.77,CA,1696090120
142,torghay,49.6339,63.4981,16.03,49,100,2.49,KZ,1696090060
143,shantou,23.3681,116.7148,26.96,79,0,1.56,CN,1696090207
144,yangquan,37.8575,113.5633,13.68,41,0,1.01,CN,1696090207
145,yung shue wan,22.2333,114.1167,29.26,83,0,0.45,HK,1696090208
146,northam,51.0333,-4.2167,19.25,90,90,9.2,GB,1696090208
147,ta`u,-14.2336,-169.5144,26.67,81,17,5.19,AS,1696090208
148,saldanha,-33.0117,17.9442,14.93,69,0,5.74,ZA,1696090208
149,saint-pierre,-21.3393,55.4781,23.82,83,20,2.57,RE,1696090066
150,pine bluff,34.2284,-92.0032,31.16,44,0,2.57,US,1696090209
151,pingdu,36.7844,119.9464,14.98,58,21,2.78,CN,1696090209
152,saint-pol-de-leon,48.6833,-3.9833,22.35,68,75,3.6,FR,1696090209
153,zhangye,38.9342,100.4517,17.36,44,77,0.58,CN,1696090210
154,maqat,47.65,53.3167,20.21,43,54,3.92,KZ,1696090210
155,puerto el triunfo,13.2833,-88.55,30.79,68,62,1.45,SV,1696090210
156,tiksi,71.6872,128.8694,-1.85,91,100,4.41,RU,1696090024
157,st. john's,47.5649,-52.7093,16.42,76,20,5.14,CA,1696089840
158,codrington,-38.2667,141.9667,21.22,22,100,9.35,AU,1696090050
159,ancud,-41.8697,-73.8203,11.21,71,100,2.12,CL,1696090012
160,sur,22.5667,59.5289,29.71,57,0,0.49,OM,1696090137
161,blackmans bay,-43.0167,147.3167,13.74,76,100,3.06,AU,1696089999
162,belyy yar,53.6039,91.3903,9.94,93,40,2.0,RU,1696090212
163,ketchikan,55.3422,-131.6461,8.26,93,20,2.06,US,1696090212
164,clarkston heights-vineland,46.3874,-117.083,12.47,82,100,1.54,US,1696090213
165,malango,-2.9627,119.9001,18.82,99,39,0.74,ID,1696090074
166,hajjah,15.6943,43.6058,23.13,53,24,1.02,YE,1696090214
167,arno,60.1167,18.6333,14.88,63,35,6.5,SE,1696090214
168,puerto ayora,-0.7393,-90.3518,28.98,90,100,3.58,EC,1696090004
169,aykhal,66.0,111.5,2.26,99,100,0.89,RU,1696089999
170,rongelap,11.1635,166.8941,28.2,78,96,4.34,MH,1696090073
171,puerto san jose,13.9256,-90.8244,30.11,69,38,0.56,GT,1696090215
172,troitskoye,52.9821,84.6757,9.59,92,100,1.38,RU,1696090215
173,santa ana de yacuma,-13.75,-65.4333,35.64,42,99,0.45,BO,1696090216
174,stanley,54.868,-1.6985,13.07,93,40,2.57,GB,1696090005
175,kourou,5.1552,-52.6478,33.03,56,9,4.32,GF,1696090033
176,adrar,20.5022,-10.0711,37.26,9,51,6.96,MR,1696090217
177,fort morgan,40.2503,-103.8,22.68,77,26,0.0,US,1696090217
178,carnarvon,-24.8667,113.6333,19.04,73,0,8.27,AU,1696090100
179,zaragoza,41.6561,-0.8773,34.33,23,0,1.03,ES,1696090029
180,tsiombe,-25.3,45.4833,22.7,75,77,2.71,MG,1696090018
181,tazovsky,67.4667,78.7,-0.78,72,100,0.74,RU,1696090038
182,red hill,33.9996,-79.2581,24.95,62,27,4.43,US,1696090218
183,roma,43.2128,-75.4557,21.88,69,20,0.0,US,1696090061
184,vorgashor,67.5833,63.95,1.96,79,100,7.72,RU,1696090046
185,mala,-12.6581,-76.6308,20.33,79,100,2.87,PE,1696090219
186,mahdia,35.5047,11.0622,26.97,60,1,5.29,TN,1696090162
187,ma'an,26.9775,110.7211,24.24,79,97,2.65,CN,1696090220
188,petropavlovsk-kamchatsky,53.0452,158.6483,5.28,80,100,0.89,RU,1696090134
189,amga,60.8953,131.9608,-2.23,67,56,0.45,RU,1696090000
190,machico,32.7,-16.7667,28.73,71,20,7.72,PT,1696090221
191,yacuiba,-22.038,-63.6797,27.93,23,45,3.0,BO,1696090221
192,bodden town,19.2833,-81.25,32.77,72,23,2.24,KY,1696090222
193,brigantine,39.4101,-74.3646,17.24,96,100,4.12,US,1696089926
194,cabo san lucas,22.8909,-109.9124,33.12,57,0,3.6,MX,1696089863
195,atafu village,-8.5421,-172.5159,28.26,75,49,3.76,TK,1696090059
196,soure,-0.7167,-48.5233,31.17,57,22,5.23,BR,1696090223
197,mili,6.0815,171.735,26.81,82,100,4.79,MH,1696090223
198,bratsk,56.1325,101.6142,9.34,63,100,2.73,RU,1696090224
199,barpeta,26.3167,91.0,26.49,86,96,2.49,IN,1696090224
200,mossel bay,-34.1831,22.146,12.96,68,82,8.56,ZA,1696089899
201,shahrud,36.4182,54.9763,17.82,28,1,1.91,IR,1696090224
202,comayagua,14.45,-87.6333,29.33,64,75,2.07,HN,1696090225
203,sitka,57.0531,-135.33,8.94,87,100,3.6,US,1696090014
204,vila franca do campo,37.7167,-25.4333,22.16,99,100,2.74,PT,1696090095
205,dalbandin,28.8947,64.4101,23.65,11,0,3.44,PK,1696090225
206,selfoss,63.9331,-20.9971,9.47,75,100,5.83,IS,1696090226
207,okha,53.5739,142.9478,9.31,93,97,2.86,RU,1696090016
208,qarazhal,48.0078,70.7903,13.6,40,100,3.22,KZ,1696090227
209,sao gotardo,-19.3111,-46.0489,29.24,35,57,3.1,BR,1696090227
210,odda,60.0691,6.5457,13.21,99,100,3.16,NO,1696090227
211,gulu,2.7746,32.299,23.18,70,43,1.75,UG,1696090228
212,talnakh,69.4865,88.3972,-8.94,91,14,2.65,RU,1696090026
213,brenham,30.1669,-96.3977,32.12,60,40,2.57,US,1696090228
214,imeko,7.45,2.85,28.17,76,70,1.24,NG,1696090228
215,mirialguda,16.8667,79.5833,26.89,77,99,2.26,IN,1696090161
216,isangel,-19.55,169.2667,19.96,69,16,6.39,VU,1696090229
217,maun,-19.9833,23.4167,32.53,11,0,2.19,BW,1696090229
218,constantia,44.1833,28.65,22.61,70,0,5.35,RO,1696089838
219,iskateley,67.6803,53.1512,7.23,89,100,8.49,RU,1696090041
220,chandbali,20.7833,86.7667,26.08,88,100,3.13,IN,1696090230
221,xai-xai,-25.0519,33.6442,27.52,52,0,3.51,MZ,1696090093
222,nha trang,12.25,109.1833,27.0,90,75,2.31,VN,1696090231
223,tralee,52.2704,-9.7026,18.14,88,75,3.6,IE,1696090094
224,happy valley-goose bay,53.3168,-60.3315,18.17,40,99,3.46,CA,1696090101
225,hithadhoo,-0.6,73.0833,27.41,80,59,6.34,MV,1696090051
226,arteche,12.2645,125.4048,26.74,84,100,4.02,PH,1696090041
227,reggane,26.7158,0.1714,38.61,13,0,8.37,DZ,1696090075
228,ierapetra,35.01,25.7353,26.19,47,50,4.92,GR,1696090232
229,luderitz,-26.6481,15.1594,19.28,55,0,9.41,NA,1696090113
230,pangody,65.85,74.4859,0.69,75,100,4.04,RU,1696090232
231,altamont,42.2068,-121.7372,9.66,84,100,5.14,US,1696090233
232,tazacorte,28.629,-17.9293,27.54,80,20,3.09,ES,1696090033
233,saint john,45.2727,-66.0677,19.11,58,78,1.21,CA,1696090233
234,lompoc,34.6391,-120.4579,17.66,67,100,2.68,US,1696090085
235,upington,-28.4478,21.2561,26.39,8,0,6.83,ZA,1696090234
236,sarupathar,26.1984,93.8094,25.98,92,81,1.15,IN,1696090234
237,cole harbour,44.6724,-63.4751,17.74,90,98,0.89,CA,1696090053
238,olinda,-8.0089,-34.8553,28.85,65,75,7.2,BR,1696090235
239,port lincoln,-34.7333,135.8667,13.97,80,35,8.27,AU,1696090003
240,akureyri,65.6835,-18.0878,7.11,69,58,1.3,IS,1696090148
241,al majaridah,19.1236,41.9111,33.4,43,3,1.44,SA,1696090235
242,broken hill,-31.95,141.4333,21.2,13,29,6.54,AU,1696090105
